,condition,phase,task,agent,recipient,result,sid,indicator
1,A1,learn,1,42,31,52,A1-learn-01,1
2,A1,learn,2,42,33,54,A1-learn-02,1
3,A1,learn,3,42,52,53,A1-learn-03,1
4,A1,learn,4,42,53,54,A1-learn-04,1
5,A1,learn,5,42,61,52,A1-learn-05,1
6,A1,learn,6,42,62,53,A1-learn-06,1
7,A1,gen,1,32,32,43,A1-gen-01,1
8,A1,gen,2,32,41,42,A1-gen-02,1
9,A1,gen,3,32,51,42,A1-gen-03,1
10,A1,gen,4,32,63,44,A1-gen-04,1
11,A1,gen,5,42,32,53,A1-gen-05,1
12,A1,gen,6,42,41,52,A1-gen-06,1
13,A1,gen,7,42,51,52,A1-gen-07,1
14,A1,gen,8,42,63,54,A1-gen-08,1
15,A1,gen,9,43,32,53,A1-gen-09,1
16,A1,gen,10,43,41,52,A1-gen-10,1
17,A1,gen,11,43,51,52,A1-gen-11,1
18,A1,gen,12,43,63,54,A1-gen-12,1
19,A1,gen,13,61,32,73,A1-gen-13,1
20,A1,gen,14,61,41,72,A1-gen-14,1
21,A1,gen,15,61,51,72,A1-gen-15,1
22,A1,gen,16,61,63,74,A1-gen-16,1
23,A2,learn,1,42,31,52,A2-learn-01,1
24,A2,learn,2,42,33,54,A2-learn-02,1
25,A2,learn,3,42,52,53,A2-learn-03,1
26,A2,learn,4,42,53,54,A2-learn-04,1
27,A2,learn,5,42,61,52,A2-learn-05,1
28,A2,learn,6,42,62,53,A2-learn-06,1
29,A2,gen,1,32,32,43,A2-gen-01,1
30,A2,gen,2,32,41,42,A2-gen-02,1
31,A2,gen,3,32,51,42,A2-gen-03,1
32,A2,gen,4,32,63,44,A2-gen-04,1
33,A2,gen,5,42,32,53,A2-gen-05,1
34,A2,gen,6,42,41,52,A2-gen-06,1
35,A2,gen,7,42,51,52,A2-gen-07,1
36,A2,gen,8,42,63,54,A2-gen-08,1
37,A2,gen,9,43,32,53,A2-gen-09,1
38,A2,gen,10,43,41,52,A2-gen-10,1
39,A2,gen,11,43,51,52,A2-gen-11,1
40,A2,gen,12,43,63,54,A2-gen-12,1
41,A2,gen,13,61,32,73,A2-gen-13,1
42,A2,gen,14,61,41,72,A2-gen-14,1
43,A2,gen,15,61,51,72,A2-gen-15,1
44,A2,gen,16,61,63,74,A2-gen-16,1
45,A3,learn,1,42,31,52,A3-learn-01,0
46,A3,learn,2,42,33,54,A3-learn-02,0
47,A3,learn,3,42,52,53,A3-learn-03,0
48,A3,learn,4,42,53,54,A3-learn-04,0
49,A3,learn,5,42,61,52,A3-learn-05,0
50,A3,learn,6,42,62,53,A3-learn-06,0
51,A3,gen,1,32,32,43,A3-gen-01,0
52,A3,gen,2,32,41,42,A3-gen-02,0
53,A3,gen,3,32,51,42,A3-gen-03,0
54,A3,gen,4,32,63,44,A3-gen-04,0
55,A3,gen,5,42,32,53,A3-gen-05,0
56,A3,gen,6,42,41,52,A3-gen-06,0
57,A3,gen,7,42,51,52,A3-gen-07,0
58,A3,gen,8,42,63,54,A3-gen-08,0
59,A3,gen,9,43,32,53,A3-gen-09,0
60,A3,gen,10,43,41,52,A3-gen-10,0
61,A3,gen,11,43,51,52,A3-gen-11,0
62,A3,gen,12,43,63,54,A3-gen-12,0
63,A3,gen,13,61,32,73,A3-gen-13,0
64,A3,gen,14,61,41,72,A3-gen-14,0
65,A3,gen,15,61,51,72,A3-gen-15,0
66,A3,gen,16,61,63,74,A3-gen-16,0
67,A4,learn,1,42,31,52,A4-learn-01,1
68,A4,learn,2,42,33,54,A4-learn-02,1
