,ix,id,initial_input,content,correct,,
1,1,QYMDFKCG,The color control the square's color.,Fuzzy,14,,
2,2,L8PY2A22,"When you knock an active stone against an inactive stone, the active stone changes and increases its' number of sides by one.",Incomplete,10,Specific,
3,3,ZRC4ACYB,"The active stone has a certain number of sides to it. As the active stone glides over and hit's the inactive square, the active stone stays active and adds one more side to it's total and adopts that shape. ",Incomplete,16,Incomplete,
4,4,KAMGHNX9,The active stones turn dark blue and gain an extra side or line to their shape,Specific,8,Fuzzy,Ä£ºý
5,5,R6NM9HDE,An active stone colliding with an inactive stone causes the shade of the inactive stone to darken. An active square stone causes an inactive triangle to gain two sides. An active square stone causes a hexagon to lose one side.,Incomplete,7,meaningless,
6,6,0SI1R830,The active stone change there number of sides or right angles increase when they come in contact with inactive stones. They also change to a darker color than before. The exception was the triangle to turned into the square it touched. ,Specific,1,,
7,7,FFBPRICE,"Any active stone hitting the inactive square stone becomes a very dark, active stone, with a new shape that has one more side than what the active stone's shape was prior to being hit.",Specific,4,,
8,8,YK4Q54MP,"what I have observed myself,If those images depict actual objects observed under the claimed circumstances.",meaningless,0,both,
9,9,1D3R2SU2,Contact with the square turns the object the next shade darker and also changes it to a pentagon,Incomplete,12,one_moving,
10,10,46N7AJG2,"An active stone, when contacted with an inactive stone, makes the stone one shade darker and converts it into a shape with one more side than the active stone.",Specific,17,one_static,
11,11,Z5D3TGLB,"The square turns every non-pentagon stone into a pentagon and also one shade darker, while turning the pentagon stone just one shade darker.",Incomplete,16,none,
12,12,GVPAX3Z0,5 side shape that is glowing turns a square of any shade into 6 sided dark shape. triangle glowing turns squares into dark squares.,Fuzzy,5,,
13,13,56L9EW8W,Cause can be found if only one looks hard and carefully. causes are objective and change in principle.,Fuzzy,3,,
14,14,5AX1M7GG,The color of the inactive stone became darker and its sides will has one side more than the shape of the active stone.,Specific,11,,
15,15,I4V0NFWJ,Active stones cause changes to deeper color and more angles.,Specific,6,,
16,16,551HJ12A,"When the dark shade stone interacts with light or medium stones it will make both stones dark inactive. 

Whenever the hexagon or pentagon stones interact with another they make the other's shape to dark hexagon stone.

When light stones interact with medium shade stones it makes other stone as dark without changing the shape.",Fuzzy,5,,
17,17,9QXHDLCE,"the said to help guide you to harmony and balance to help you make clear, conscious decisions. This purple stone is said to be incredibly protective, healing, and purifying. It__ claimed it can help.",meaningless,0,,
18,18,BS96ENLF,I remember the old concept. when two stones strike each other they produce fire. like wise these stones ( whether its active or inactive) produce heat energy which causes change in their properties when they interact.,Fuzzy,9,,
19,19,1LRR8LNY,"When coming in contact with an active stone, an inactive stone turns a shade darker and becomes a pentagon, no matter what shape it starts out as. If it's already a pentagon it stays a pentagon and still goes one shade darker.",Incomplete,10,,
20,20,9EXRB8WJ,"My best guess about these mysterious stones work is that the stones can go into the active state or the inactive state in the experiment which depends on the experimental condition which allocated with. No matter in which state, when the stones are interacted with each other, it causes the properties of the stone to change. The active state glow with a strange light ",meaningless,0,,
21,21,EU5NMBXE,"If an inactive stone touches an active stone, it does two things. First, it turns it dark blue. And, it will adjust the shape of the stone that touched it such that it has one more side than the active stone. Any stone that touches the active stone will have one side more than the active does, after touching, unless it already had one more, then it will remain as is.",Specific,10,,
22,22,N09B0W4F,"The square converts everything(hectagon, triangle, etc) into a pentagon, and the collision ups the level of the target object by making it darker. If it's hectagon, it lowers its level by 1. ",Incomplete,15,,
23,23,8X2DJRHD,If the left side of the shape has three corners then the right side of the shape will turn four corners. It adds one extra corner to the right side of the shape.,Fuzzy,10,,
24,24,4JIBMZ7C,"Once activated, they change into another shape. With the exception being the triangle. It did not change the shape of the square. So that leads me to believe that only shapes with more than 3 sides can change/activate the other shapes. ",Fuzzy,7,,
25,25,5RVTVU24,"I think that the active stones interacting with the inactive stones, create a darker stone altogether once tapped together. I also think that the active stone takes on the shape, at least partially of every inactive stone, resulting in a pentagon.",Specific,3,,
26,26,ZCFAXPMZ,"An active stone turns the color of the stone it touches one shade darker. Also, the active stone turns any stone it touches into a five-sided figure.",Incomplete,8,,
27,27,VC5SEWL4,"When a triangle touches a square, it causes the square to become one shade darker. When a pentagon or hexagon touches a square, it causes the square to become one shade darker, and also take on the shape of the original stone + gain one extra side. So for example, a pentagon turns a square into a hexagon; a hexagon turns a square into a heptagon.",Specific,12,,
28,28,YCYL47G4,The active with more than 3 sides changes the inactive after.,Fuzzy,3,,
29,29,6GL9BBD1,"When a triangle hits a square, the square stays a square and becomes one shade darker. When anything other than a triangle hits the square, the square goes one shade darker and becomes a new shape. The square will take on the shape of what hit it plus one additional side. For example, if a shape with 5 sides hits the square, the square becomes a shape with 6 sides, etc.",Specific,13,,
30,30,YHF7H23W,"The active stones turn the inactive stones they're colliding into a darker shade of themselves. More importantly, they turn inactive shapes into a shape that has one more side than the active shapes.",Specific,10,,
31,31,LXYN4CEW,"Please note that these texts are included solely as exemplars in support of the ... __ think my friends will come, but I do not see a birthday cake.",meaningless,0,,
32,32,AYKN0SPL," Archaeology is the study of the human past using material remains. These remains can be any objects that people created, modified, or used.",meaningless,1,,
33,33,ZV49ABQP,"The stones can go into the active state or the inactive state in the experiment which depends on the experimental conation you are allotted with. The range of the shades in the medium and dark to very dark . the variety of the shapes is triangular ,square ,pentagon and hexagon ,etc..",meaningless,0,,
34,34,LFS90OQE,"A stone circle is a circular alignment of standing stones. They are commonly found across Northern Europe and Great Britain, and typically date from the Late Neolithic and Early Bronze Age eras, with most concentrations appearing from 3000 BC.",meaningless,0,,
35,35,YOKKU8GH,It seems to me that the inactive square stone has the effect of adding another angle to the active shape that touches it. It will also turn the shape one shade darker after the interaction.,Specific,8,,
36,36,KXO53THQ,bumping up against a blue square adds a side to the target and leaves it activated ,Incomplete,10,,
37,37,Q1BYLQLX,"An active square will change the shade of any other inactive shape by a degree darker than what it was.  It will also change the shape from it's starting shape to a pentagon, unless it it is already so.",Incomplete,10,,
38,38,0VGJ3YP7,"IT IS VERY GOOD EXPERIMENT.Then, you will be asked to write your best guess of how the phenomena works: what causal rule (or rules) determine when, whether and how one stone change the other stone You will be paid $0.50 bonus if you write the correct hidden causal relation. THE IMAGES ARE SQUARE, triangle, pentagon, hexagon, colors are light, medium, dark, very dark. the colors are changed. it is very nice experiment.",meaningless,0,,
39,39,C6FER4RP,The stones cause the other object to become darker. The stones also cause the other object to gain a side.,Specific,8,,
40,40,MHF25TE9,"When two stones (different shapes) strike each other, one stone is converted to a shape that has more sides. example: when square and pentagon stones strike each other , square shaped stone is converted to pentagon shapes stone.",Incomplete,6,,
