,ix,id,initial_input,content,correct,condition,issue,fixed,,,,,
1,1,QYMDFKCG,The color control the square's color.,Fuzzy,14,A1,statechange,fixed_A,,,,,
13,13,56L9EW8W,Cause can be found if only one looks hard and carefully. causes are objective and change in principle.,meaningless,3,A1,statechange,fixed_A,,,,,
25,25,5RVTVU24,"I think that the active stones interacting with the inactive stones, create a darker stone altogether once tapped together. I also think that the active stone takes on the shape, at least partially of every inactive stone, resulting in a pentagon.",Specific,3,A1,statechange,fixed_A,,,,,
48,48,5HNY30YI,"When knocked together, they increase the amount of sides of the the active stone by one.  It will also cause the active shape to be one shade darker than the shape on the right if it already isn't that shade.",Specific,18,A1,statechange,fixed_A,,,,,
52,52,X9M7B9NT,"Bluestone is the term used to refer to the smaller stones at Stonehenge. These are of varied geology but all came from the Preseli Hills in south-west Wales.
",meaningless,0,A1,statechange,fixed_A,,,,,
59,59,DSULE403,its the rectangle goes to the stone of the octagon ,meaningless,1,A1,statechange,fixed_A,,,,,
61,61,YTHMK0RD,"When an active square stone bumps into an inactive stone, it will change into an active pentagon. If the inactive stone is a darker color than the active square, the active square will also change into a darker colored pentagon, and the final color will be one shade darker than the inactive stone.",Incomplete,10,A1,statechange,fixed_A,,,,,
63,63,5JUSSSP7,"The stones can go into the active or inactive state depends upon the condition. When the stones are interacted with each other, the properties of the stones to change. Active states glow with a straight light.",meaningless,6,A1,statechange,fixed_A,,,,,
66,66,BVP1Y7HV,my own guess.The work was good.,meaningless,3,A1,statechange,fixed_A,,,,,
68,68,O7WLKYBW,"If the stone that is moving interacts with a darker stone, It becomes an even more darker stone. If the stone that is moving moving is darker than the stone that it is going to collide with, it will stay the same color.",Incomplete,5,A1,statechange,fixed_A,,,,,
69,69,H18NM7I5,"I believe that when the active stones that are squares hit any other stone regardless of color or shape, it will turn into a pentagon.",Incomplete,4,A1,statechange,fixed_A,,,,,
74,74,JT2TWGZK,active squares when close to any inactive object except inactive square turns into an active pentagon,Incomplete,15,A1,statechange,fixed_A,,,,,
82,82,1XPLODJT,"When active hits inactive the shape changes, when it hits active both color and shape might change.",Fuzzy,4,A1,statechange,fixed_A,,,,Specific,
84,84,QAGLCBBP,An active square stone seems to change into a hexagon stone when interacting with any other shaped stone.  If also seems to increase it's brightness based on the stone it's interacting with.,Specific,3,A1,statechange,fixed_A,,,,,
90,90,WT9R5OKW,"When an activated stone interacts with a non-active stone it causes a change depending on the shade of each shape and the specific shapes interacting.  If the object is a dark shade, the glowing object with darken a shade and change to from a sqaure to a pentagon.",Specific,5,A1,statechange,fixed_A,,,,,
